Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lk-nehr-fhir-ips.json	34519	-	0	0	0	0	0	0	8	48	0	0	0	0	0	0	0	2	0	0	199	147	0	0	0	7	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1005	4	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	14	22	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-NoAllergiesExample.json	754	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	16	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExample.json	55352	16	0	0	0	0	85	0	1	1716	0	0	0	0	0	0	0	0	0	0	190	125	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExample.json	30256	9	0	0	0	0	10	0	2	328	0	0	0	0	0	0	0	1	0	0	127	94	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSIPSBundleExample.json	75930	15	0	0	0	0	28	0	1	1019	0	0	0	0	0	0	0	0	0	0	250	120	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSTransactionalBundleExample.json	40316	10	1	0	0	0	9	0	2	416	0	0	0	0	0	0	0	1	0	0	165	97	0	0	0	0	0	0
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	636	3	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	11	17	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-composition-codes.json	670	2	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	12	2308	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	996	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	78	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-device-classification.json	493	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	69	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	534	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	861	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	13	79	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14604	4	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	88	126	0	0	0	2	0	1
fsh-generated/resources/CodeSystem-cs-medication-name-msd.json	89937	12	1	0	0	0	0	0	5	93	0	0	0	0	0	0	0	1	0	0	491	319	0	0	0	12	0	1
fsh-generated/resources/CodeSystem-cs-medication-name-non-msd.json	1889	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	0	0	21	75	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1887	3	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	21	82	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	593	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	14	64	0	0	0	0	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	488	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Composition-HHIMSCompositionExample.json	25240	8	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	77	33	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	36093	8	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	109	37	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1201	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	20	15	0	0	0	0	0	0
fsh-generated/resources/Condition-NoMedicalHistoryExample.json	717	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	14	12	0	0	0	0	0	0
fsh-generated/resources/Device-DeviceInformationExample.json	869	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	861	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1310	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	17	19	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1533	2	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1010	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-MedicationRequestsExample.json	2184	3	0	0	0	0	0	0	1	30	0	0	0	0	0	0	0	0	0	0	16	20	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-NoPrescriptionsExample.json	830	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1215	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1605	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1812	3	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	779	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	1060	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	16	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1802	3	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	1183	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	1188	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1658	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	16	16	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	1061	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	566	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	4195	3	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/Patient-RestrictedPatientExample.json	322	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	13	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	541	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	8	9	0	0	0	0	0	0
fsh-generated/resources/RiskAssessment-CVDRiskCategoryExample.json	1947	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1099	3	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GeneralReferralServiceRequestExample.json	788	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GenericServiceRequestExample.json	779	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	74	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ImagingServiceRequestExample.json	854	3	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-InvestigationsServiceRequestExample.json	878	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ProcedureServiceRequestExample.json	826	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	16	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-allergy-intolerance.json	3830	3	0	0	0	0	0	177	0	38	0	0	0	0	0	0	0	1	0	0	291	1511	0	1	0	7	0	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	6825	4	0	0	0	0	0	189	0	92	0	0	0	0	0	0	0	2	0	0	672	1065	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-bmi.json	3341	3	0	0	0	0	0	56	0	31	0	0	2	0	0	0	0	2	0	0	426	590	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-cvd-risk-category.json	5226	3	0	0	0	0	0	36	1	24	0	0	0	0	0	0	0	0	0	0	218	234	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-device-information.json	3002	3	0	0	0	0	0	22	0	21	0	0	0	0	0	0	0	2	0	0	287	363	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-drug-dispensation.json	4734	2	0	0	0	0	0	61	0	17	0	0	0	0	0	0	0	0	0	0	231	486	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-fasting-blood-sugar.json	4743	3	0	0	0	0	0	76	0	24	0	0	1	0	0	0	0	2	0	0	487	921	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-follow-up-at-hlc.json	2750	2	0	0	0	0	0	53	0	11	0	0	0	0	0	0	0	1	0	0	247	481	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-follow-up-plan.json	2914	2	0	0	0	0	0	36	0	20	0	0	0	0	0	0	0	1	0	0	285	475	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-general-referral-request.json	2420	2	0	0	0	0	0	31	0	21	0	0	0	0	0	0	0	1	0	0	217	367	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-generic-observation.json	3530	1	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	300	400	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-generic-service-request.json	3025	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	197	216	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-generic-task.json	2613	2	0	0	0	0	0	46	0	14	0	0	0	0	0	0	0	1	0	0	229	244	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-height.json	3339	2	0	0	0	0	0	28	0	26	0	0	0	0	0	0	0	2	0	0	421	430	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-hhims-composition.json	21429	4	0	0	0	0	0	179	0	152	0	0	1	0	0	0	0	7	0	0	2002	2145	0	0	0	28	1	3
fsh-generated/resources/StructureDefinition-hhims-ips-bundle.json	6337	1	0	0	0	0	0	389	0	126	0	0	2	0	0	0	0	14	0	0	3407	3134	0	0	1	61	1	7
fsh-generated/resources/StructureDefinition-hhims-transactional-bundle.json	12966	2	0	0	0	0	0	188	0	75	0	0	1	0	0	0	0	8	0	0	1915	2010	0	0	0	33	0	2
fsh-generated/resources/StructureDefinition-hims-composition.json	15085	3	0	0	0	0	0	134	1	66	0	0	1	0	0	0	0	6	0	0	1727	1450	0	1	0	25	1	3
fsh-generated/resources/StructureDefinition-hims-ips-bundle.json	5300	1	0	0	0	0	0	302	0	156	0	0	1	0	0	0	0	9	0	0	3280	2592	0	0	0	60	0	4
fsh-generated/resources/StructureDefinition-hims-transactional-bundle.json	17836	3	1	0	0	0	0	433	0	106	0	0	1	0	0	0	0	5	0	0	2602	1827	0	0	0	51	1	4
fsh-generated/resources/StructureDefinition-imaging-request.json	2195	1	0	0	0	0	0	14	0	18	0	0	0	0	0	0	0	0	0	0	190	279	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-imaging-study.json	4346	2	0	0	0	0	0	17	0	18	0	0	0	0	0	0	0	1	0	0	289	485	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-investigations-request.json	2215	1	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	189	229	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ips-patient.json	10129	2	0	0	0	0	0	36	0	36	0	0	1	0	0	0	0	1	0	0	828	649	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-medical-history.json	3604	1	0	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	224	214	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-medication-request.json	9556	2	0	0	0	0	0	33	0	26	0	0	0	0	0	0	0	1	0	0	667	477	0	0	0	13	1	1
fsh-generated/resources/StructureDefinition-no-allergy-intolerance.json	2589	2	0	0	0	0	0	16	0	10	0	0	0	0	0	0	0	0	0	0	250	303	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-no-medical-history.json	2422	1	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	1	0	0	219	201	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-no-medication-requested.json	3237	1	0	0	0	0	0	21	0	26	0	0	0	0	0	0	0	0	0	0	397	317	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-notifiable-diseases-notified.json	2244	2	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	151	158	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-organization.json	2475	1	0	0	0	0	0	13	1	8	0	0	0	0	0	0	0	0	0	0	223	178	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-patient-identity-cross-reference.json	3704	2	0	0	0	0	0	53	0	10	0	0	0	0	0	0	0	1	0	0	257	174	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-patient-registration-system.json	1690	1	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	48	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-practitioner.json	1572	1	0	0	0	0	0	7	0	11	0	0	1	0	0	0	0	0	0	0	154	154	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-procedures-request.json	2068	2	1	0	0	0	0	8	0	61	0	0	0	0	0	0	0	0	0	0	209	185	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-providers-location.json	3263	1	0	0	0	0	0	8	0	11	0	0	0	0	0	0	0	1	0	0	273	209	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-random-blood-sugar.json	4731	2	0	0	0	0	0	14	0	20	0	0	0	0	0	0	0	0	0	0	500	540	0	0	0	10	0	0
fsh-generated/resources/StructureDefinition-referral-task.json	1685	1	0	0	0	0	0	15	0	11	0	0	0	0	0	0	0	0	0	0	214	250	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-risk-behaviour-physical-activity.json	3049	1	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	1	0	0	378	372	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-risk-behaviour-tobacco-smoker.json	3035	1	0	0	0	0	0	14	0	14	0	0	0	0	0	0	0	0	0	0	399	457	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-target-facility-encounter.json	2924	2	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	1	0	0	286	315	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-total-cholesterol.json	4745	2	0	0	0	0	0	15	0	16	0	0	0	0	0	0	0	0	0	0	487	388	0	0	0	10	1	1
fsh-generated/resources/StructureDefinition-weight.json	3340	1	0	0	0	0	0	15	0	25	0	0	0	0	0	0	0	1	0	0	421	384	0	1	0	8	0	1
fsh-generated/resources/Task-GenericTaskExample.json	556	1	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Task-HHIMSReferralTaskExample.json	767	2	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-cvd-risk-category.json	470	1	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	9	4115	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-device-classification.json	486	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	68	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-follow-up-plan.json	970	1	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	11	626	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-follow-up-reasons.json	663	1	0	0	0	0	0	0	1	84	0	0	0	0	0	0	0	0	0	0	9	163	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-identifier-types.json	455	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	47	0	0	0	1	0	0
fsh-generated/resources/ValueSet-vs-investigation.json	407	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	202	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-medical-conditions.json	961	1	0	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0	10	394	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-medication-name-msd.json	501	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	937	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-medication-name-non-msd.json	567	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	55	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-procedure-imaging.json	422	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	16	59	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-procedure.json	383	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	8	41	0	0	0	0	0	0
fsh-generated/resources/ValueSet-vs-reason-for-encounter.json	68066	4	0	0	0	0	0	0	4	600	0	0	0	0	0	0	0	0	0	0	265	1275	0	0	0	8	0	0
fsh-generated/resources/ValueSet-vs-risk-behaviour-physical-activity.json	595	1	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	10	146	0	0	0	0	0	0
