Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lk-nehr-fhir-ips.json	36624	-	0	0	0	0	0	0	7	58	0	0	0	0	0	0	0	9	0	0	221	220	0	0	0	28	0	4
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1021	6	0	0	0	1	0	0	0	116	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-GenericAllergiesExample.json	1030	10	1	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	13	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-NoAllergiesExample.json	764	3	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExample.json	55313	17	0	0	0	0	111	0	2	2197	0	0	0	0	0	0	0	1	0	0	197	184	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExample.json	28747	7	1	0	0	0	7	0	2	424	0	0	0	0	0	0	0	0	0	0	122	99	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSIPSBundleExample.json	71916	18	0	0	0	0	39	0	2	1158	0	0	0	0	0	0	0	1	0	0	210	136	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSTransactionalBundleExample.json	38071	9	2	0	0	0	9	0	2	438	0	0	0	0	0	0	0	0	0	0	136	89	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	644	2	0	0	0	0	0	0	1	23	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	996	2	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	14	3459	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	534	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	11	84	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	861	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	13	90	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14604	4	1	0	0	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	75	180	0	0	0	4	0	8
fsh-generated/resources/CodeSystem-cs-medication-name.json	89858	14	1	0	0	0	0	0	8	91	0	0	0	0	0	0	0	2	0	0	413	330	0	0	0	31	0	1
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1887	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	22	55	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	2101	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	20	56	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-reason-for-encounter.json	100497	17	1	0	0	0	0	0	10	186	0	0	1	0	0	0	0	1	0	0	440	527	0	0	0	46	0	1
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	428	2	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	13	0	0	0	0	0	0
fsh-generated/resources/Composition-HHIMSCompositionExample.json	26882	7	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	67	86	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	34358	8	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	83	76	0	0	0	0	0	0
fsh-generated/resources/Condition-HHIMSMedicalHistoryExample.json	733	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/Condition-HIMSMedicalHistoryExample.json	1218	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	25	13	0	0	0	0	0	0
fsh-generated/resources/Encounter-GenericTargetFacilityEncounterExample.json	878	2	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-HHIMSTargetFacilityEncounterExample.json	875	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/Encounter-HIMSTargetFacilityEncounterExample.json	872	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	11	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1143	5	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1533	3	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1016	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	14	22	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-NoPrescriptionsExample.json	793	2	1	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-PrescriptionsExample.json	2187	3	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	19	30	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1157	2	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1543	2	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1750	3	1	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	17	12	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	717	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericWeightExample.json	1014	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	17	11	0	0	1	0	0	0
fsh-generated/resources/Observation-HHIMSWeightExample.json	1012	2	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Observation-HIMSWeightExample.json	1008	3	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	998	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	17	22	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1740	2	1	0	0	0	0	0	1	26	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	1121	2	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	20	12	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	1126	3	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	16	12	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1596	2	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	19	13	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	566	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	12	8	0	0	0	0	0	0
fsh-generated/resources/Patient-HHIMSPatientExample.json	1975	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	14	9	0	0	0	0	0	0
fsh-generated/resources/Patient-HIMSPatientExample.json	3983	2	1	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	541	2	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Procedure-ProceduresExample.json	1053	2	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	14	15	0	0	0	0	0	0
fsh-generated/resources/RiskAssessment-CVDRiskCategoryExample.json	1959	2	1	0	0	0	0	0	1	33	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1107	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	15	34	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GeneralReferralServiceRequestExample.json	798	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	14	17	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GenericServiceRequestExample.json	789	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	16	36	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ImagingServiceRequestExample.json	819	2	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-InvestigationsServiceRequestExample.json	843	2	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	7471	3	0	0	0	0	0	306	0	148	0	0	1	0	0	0	0	10	0	0	591	3270	0	1	0	76	1	2
fsh-generated/resources/StructureDefinition-bmi.json	3987	3	0	0	0	0	0	44	0	54	0	0	0	0	0	0	0	1	0	0	367	1049	0	0	0	45	0	9
fsh-generated/resources/StructureDefinition-cvd-risk-category.json	5146	3	0	0	0	0	0	31	0	33	0	0	0	0	0	0	0	1	0	0	192	435	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-drug-dispensation.json	4656	2	0	0	0	0	0	98	0	27	0	0	0	0	0	0	0	1	0	0	200	466	0	0	0	13	0	1
fsh-generated/resources/StructureDefinition-fasting-blood-sugar.json	4425	3	0	0	0	0	0	62	1	32	0	0	0	0	0	0	0	1	0	0	395	992	0	0	0	31	1	1
fsh-generated/resources/StructureDefinition-follow-up-at-hlc.json	2671	2	1	0	0	0	0	164	0	19	0	0	0	0	0	0	0	1	0	0	209	503	0	0	0	20	0	0
fsh-generated/resources/StructureDefinition-follow-up-plan.json	3552	3	0	0	0	0	0	59	0	20	0	0	1	0	0	0	0	1	0	0	235	590	0	0	0	18	0	1
fsh-generated/resources/StructureDefinition-general-referral-request.json	3060	2	0	0	0	0	0	31	0	20	0	0	0	0	0	0	0	1	0	0	190	705	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-generic-allergy-intolerance.json	4049	3	1	0	0	0	0	41	0	17	0	0	0	0	0	0	0	9	0	0	217	750	0	1	0	11	1	0
fsh-generated/resources/StructureDefinition-generic-observation.json	3089	2	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	1	0	0	262	904	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-generic-service-request.json	3029	2	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	178	652	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-generic-target-facility-encounter.json	3020	2	1	0	0	0	0	32	0	19	0	0	0	0	0	0	0	1	0	0	245	649	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-generic-task.json	2617	2	0	0	0	0	0	41	0	16	0	0	0	0	0	0	0	1	0	0	292	509	0	0	0	5	0	9
fsh-generated/resources/StructureDefinition-generic-weight.json	3391	3	0	0	0	0	0	66	0	22	0	0	0	0	0	0	0	1	0	0	349	701	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-height.json	3985	3	1	0	0	0	0	57	0	34	0	0	0	0	0	0	0	1	0	0	357	653	0	0	0	11	1	1
fsh-generated/resources/StructureDefinition-hhims-allergy-intolerance.json	1597	2	0	0	0	0	0	32	0	90	0	0	0	0	0	0	0	1	0	0	189	402	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-hhims-composition.json	18254	4	0	0	0	0	0	433	0	246	0	0	1	0	0	0	0	13	0	0	1655	4189	0	0	0	38	1	3
fsh-generated/resources/StructureDefinition-hhims-ips-bundle.json	6343	3	0	0	0	0	0	750	0	251	0	0	5	0	0	0	0	29	0	0	2814	4806	0	0	0	88	1	13
fsh-generated/resources/StructureDefinition-hhims-patient.json	5896	3	0	0	0	0	0	39	0	67	0	0	1	0	0	0	0	1	0	0	430	1259	0	0	0	14	0	1
fsh-generated/resources/StructureDefinition-hhims-target-facility-encounter.json	1436	2	0	0	0	0	0	26	0	26	0	0	0	0	0	0	0	1	0	0	215	868	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-hhims-transactional-bundle.json	13009	4	0	0	0	0	0	250	0	243	0	0	8	0	0	0	0	15	0	0	1550	2876	0	0	0	74	4	3
fsh-generated/resources/StructureDefinition-hhims-weight.json	1926	2	1	0	0	0	0	29	0	58	0	0	0	0	0	0	0	1	0	0	312	571	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-hims-allergy-intolerance.json	1591	2	0	0	0	0	0	21	0	37	0	0	0	0	0	0	0	1	0	0	202	558	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-hims-composition.json	12980	4	0	0	0	0	0	143	0	193	0	0	0	0	0	0	0	13	0	0	1415	3536	0	0	0	35	0	12
fsh-generated/resources/StructureDefinition-hims-ips-bundle.json	5305	2	0	0	0	0	0	344	0	240	0	0	2	0	0	0	0	21	0	0	2800	4075	0	1	0	90	1	14
fsh-generated/resources/StructureDefinition-hims-patient.json	4921	2	0	0	0	0	0	29	1	99	0	0	0	0	0	0	0	2	0	0	594	847	0	0	0	20	0	1
fsh-generated/resources/StructureDefinition-hims-target-facility-encounter.json	1430	2	0	0	0	0	0	16	0	50	0	0	0	0	0	0	0	1	0	0	234	382	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-hims-transactional-bundle.json	17109	5	0	0	0	0	0	311	0	151	0	0	1	0	0	0	0	9	0	0	2072	3096	0	0	0	64	1	13
fsh-generated/resources/StructureDefinition-hims-weight.json	1919	2	0	0	0	0	0	20	0	26	0	0	0	0	0	0	0	1	0	0	353	819	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-imaging-request.json	2713	2	1	0	0	0	0	139	0	18	0	0	0	0	0	0	0	1	0	0	175	498	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-imaging-study.json	4483	2	0	0	0	0	0	16	0	24	0	0	0	0	0	0	0	1	0	0	241	757	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-imaging-task.json	2378	3	0	0	0	0	0	14	0	39	0	0	0	0	0	0	0	0	0	0	248	514	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-investigations-request.json	2733	2	0	0	0	0	0	11	0	21	0	0	0	0	0	0	0	1	0	0	169	305	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-investigations-task.json	2420	2	1	0	0	0	0	15	0	57	0	0	0	0	0	0	0	1	0	0	191	480	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-medical-history-hhims.json	2439	2	0	0	0	0	0	11	0	51	0	0	0	0	0	0	0	1	0	0	194	322	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-medical-history-hims.json	3631	2	0	0	0	0	0	11	0	36	0	0	0	0	0	0	0	0	0	0	192	293	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-medication-request.json	8666	3	0	0	0	0	0	28	0	105	0	0	0	0	0	0	0	2	0	0	578	817	0	0	0	18	1	10
fsh-generated/resources/StructureDefinition-no-medication-requested.json	3251	2	0	0	0	0	0	42	0	23	0	0	1	0	0	0	0	2	0	0	343	511	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-notifiable-diseases-notified.json	1848	2	0	0	0	0	0	14	0	10	0	0	0	0	0	0	0	0	0	0	122	227	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-organization.json	2475	2	1	0	0	0	0	11	0	14	0	0	0	0	0	0	0	1	0	0	188	278	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-practitioner.json	1572	2	0	0	0	0	0	11	0	12	0	0	0	0	0	0	0	1	0	0	143	229	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-procedure.json	4471	2	0	0	0	0	0	16	0	18	0	0	0	0	0	0	0	0	0	0	250	365	0	0	0	8	0	0
fsh-generated/resources/StructureDefinition-providers-location.json	3263	3	0	0	0	0	0	17	0	17	0	0	0	0	0	0	0	1	0	0	242	336	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-random-blood-sugar.json	4413	3	0	0	0	0	0	22	0	24	0	0	0	0	0	0	0	2	0	0	436	640	0	0	0	13	0	1
