Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lk-nehr-fhir-ips.json	36921	-	0	0	0	0	0	0	8	47	0	0	0	0	0	0	0	1	0	0	219	148	0	0	0	8	0	2
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1005	5	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	15	14	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-NoAllergiesExample.json	754	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExampleNoMedicalHistory.json	55145	15	0	0	0	0	77	0	2	1294	0	0	0	0	0	0	0	1	0	0	204	134	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExampleWithMedicalHistory.json	55775	15	0	0	0	0	11	0	3	383	0	0	0	0	0	0	0	0	0	0	189	88	0	0	0	0	0	1
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExampleNoMedicalHistory.json	30012	9	0	0	0	0	9	0	2	292	0	0	0	0	0	0	0	1	0	0	134	69	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExampleWithMedicalHistory.json	30638	8	0	0	0	0	6	0	2	337	0	0	0	0	0	0	0	0	0	0	126	70	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSIPSBundleExample.json	75921	15	1	0	0	0	20	0	3	525	0	0	0	0	0	0	0	0	0	0	251	104	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSTransactionalBundleExample.json	40307	9	0	0	0	0	6	0	2	227	0	0	0	0	0	0	0	0	0	0	163	87	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	636	3	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-composition-codes.json	670	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	15	2622	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-cvd-risk-category.json	996	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	17	79	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-device-classification.json	493	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	66	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-drug-frequency.json	1761	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	18	60	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-follow-up-reasons.json	534	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	11	47	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-cs-identifier-types.json	861	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	15	51	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-investigation.json	14604	5	0	0	0	0	0	0	2	12	0	0	0	0	0	0	0	1	0	0	88	85	0	0	0	3	0	0
fsh-generated/resources/CodeSystem-cs-medication-name-msd.json	89937	28	1	0	0	0	0	0	7	82	0	0	1	0	0	0	0	1	0	0	485	295	0	0	0	11	0	1
fsh-generated/resources/CodeSystem-cs-medication-name-non-msd.json	1889	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	25	40	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure-imaging.json	1887	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-cs-procedure.json	593	3	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	33	0	0	0	1	0	0
fsh-generated/resources/Communication-NotifiableDiseasesNotifiedExample.json	488	3	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Composition-HHIMSCompositionExampleNoMedicalHistory.json	25261	7	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	69	18	0	0	0	0	0	0
fsh-generated/resources/Composition-HHIMSCompositionExampleWithMedicalHistory.json	25261	8	0	0	0	0	0	0	1	10	0	0	0	0	0	0	0	0	0	0	66	19	0	0	0	0	0	0
fsh-generated/resources/Composition-HIMSCompositionExample.json	36093	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	93	20	0	0	0	0	0	0
fsh-generated/resources/Condition-MedicalHistoryExample.json	1201	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Condition-NoMedicalHistoryExample.json	717	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	6	0	0	0	0	0	0
fsh-generated/resources/Device-DeviceInformationExample.json	869	4	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0
fsh-generated/resources/Encounter-TargetFacilityEncounterExample.json	861	3	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	11	6	0	0	0	0	0	0
fsh-generated/resources/ImagingStudy-ImagingExample.json	1310	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Location-ProvidersLocationExample.json	1533	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	5	0	0	0	0	0	0
fsh-generated/resources/MedicationDispense-DrugDispensationExample.json	1010	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	8	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-MedicationRequestsExample.json	1981	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-MedicationRequestsWithCodedFrequencyExample.json	2131	4	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/MedicationRequest-NoPrescriptionsExample.json	830	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/Observation-BMIExample.json	1215	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	1605	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	13	7	0	0	0	0	0	0
fsh-generated/resources/Observation-FastingBloodSugarExample.json	1812	3	1	0	0	0	0	0	1	15	0	0	0	0	0	0	0	0	0	0	15	7	0	0	0	0	0	0
fsh-generated/resources/Observation-GenericObservationExample.json	779	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0
fsh-generated/resources/Observation-HeightExample.json	1060	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-RandomBloodSugarExample.json	1802	3	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourPhysicalActivityExample.json	1183	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0
fsh-generated/resources/Observation-RiskBehaviourTobaccoSmokerExample.json	1188	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Observation-TotalCholesterolExample.json	1658	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	0
fsh-generated/resources/Observation-WeightExample.json	1061	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/Organization-OrganizationExample.json	557	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/Patient-PatientExample.json	4195	3	0	0	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	15	6	0	0	0	0	0	0
fsh-generated/resources/Patient-RestrictedPatientExample.json	322	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0
fsh-generated/resources/Practitioner-GeneralPractitionerExample.json	541	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/RiskAssessment-CVDRiskCategoryExample.json	1947	4	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	14	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-FollowUpPlanServiceRequestExample.json	1099	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GeneralReferralServiceRequestExample.json	788	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-GenericServiceRequestExample.json	779	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	10	6	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ImagingServiceRequestExample.json	854	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-InvestigationsServiceRequestExample.json	878	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/ServiceRequest-ProcedureServiceRequestExample.json	826	3	1	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-allergy-intolerance.json	3830	4	0	0	0	0	0	215	0	44	0	0	0	0	0	0	0	1	0	0	266	955	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-blood-pressure.json	6825	4	0	0	0	0	0	213	0	74	0	0	1	0	0	0	0	2	0	0	691	1010	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-bmi.json	3341	3	0	0	0	0	0	64	0	27	0	0	0	0	0	0	0	2	0	0	433	649	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-cvd-risk-category.json	5226	4	0	0	0	0	0	56	0	28	0	0	0	0	0	0	0	0	0	0	224	267	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-device-information.json	3002	3	0	0	0	0	0	43	1	20	0	0	0	0	0	0	0	1	0	0	303	655	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-drug-dispensation.json	4734	4	0	0	0	0	0	90	0	16	0	0	0	0	0	0	0	1	0	0	237	404	0	0	0	5	1	1
