Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-lk-nehr-fhir-ips.json	37451	-	0	0	0	0	0	0	7	47	0	0	0	0	0	0	0	1	0	0	198	192	0	0	0	10	0	1
fsh-generated/resources/AllergyIntolerance-AllergiesExample.json	1005	5	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	14	19	0	0	0	0	0	0
fsh-generated/resources/AllergyIntolerance-NoAllergiesExample.json	754	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExampleNoMedicalHistory.json	55145	16	0	0	0	0	76	0	3	1253	0	0	0	0	0	0	0	0	0	0	187	463	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSIPSBundleExampleWithMedicalHistory.json	55775	15	0	0	0	0	10	0	3	330	0	0	0	0	0	0	0	0	0	0	186	128	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExampleNoMedicalHistory.json	30012	9	0	0	0	0	13	0	2	288	0	0	0	0	0	0	0	1	0	0	130	86	0	0	0	0	0	0
fsh-generated/resources/Bundle-HHIMSTransactionalBundleExampleWithMedicalHistory.json	30638	8	0	0	0	0	7	0	2	313	0	0	0	0	0	0	0	0	0	0	134	82	0	0	0	0	0	1
fsh-generated/resources/Bundle-HIMSIPSBundleExample.json	75921	14	0	0	0	0	22	0	3	488	0	0	0	0	0	0	0	0	0	0	270	338	0	0	0	0	0	0
fsh-generated/resources/Bundle-HIMSTransactionalBundleExample.json	40307	9	0	0	0	0	6	0	3	206	0	0	0	0	0	0	0	1	0	0	159	87	0	0	0	0	0	1
fsh-generated/resources/CarePlan-FollowUpAtHLCExample.json	636	4	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
